v1	V(n001)	V(n002)	I(D1)	I(R1)	I(V1)
9.200000000000006e-001	9.200000e-001	3.795161e-001	3.795161e-004	3.795161e-004	-3.795161e-004
9.300000000000006e-001	9.300000e-001	3.884560e-001	3.884560e-004	3.884560e-004	-3.884560e-004
9.400000000000006e-001	9.400000e-001	3.974174e-001	3.974174e-004	3.974174e-004	-3.974174e-004
9.500000000000006e-001	9.500000e-001	4.063995e-001	4.063995e-004	4.063995e-004	-4.063995e-004
9.600000000000006e-001	9.600000e-001	4.154016e-001	4.154016e-004	4.154016e-004	-4.154016e-004
9.700000000000006e-001	9.700000e-001	4.244229e-001	4.244229e-004	4.244229e-004	-4.244229e-004
9.800000000000007e-001	9.800000e-001	4.334627e-001	4.334627e-004	4.334627e-004	-4.334627e-004
9.900000000000007e-001	9.900000e-001	4.425204e-001	4.425204e-004	4.425204e-004	-4.425204e-004
1.000000000000001e+000	1.000000e+000	4.515954e-001	4.515954e-004	4.515954e-004	-4.515954e-004
1.010000000000001e+000	1.010000e+000	4.606870e-001	4.606870e-004	4.606870e-004	-4.606870e-004
1.020000000000001e+000	1.020000e+000	4.697947e-001	4.697947e-004	4.697947e-004	-4.697947e-004
1.030000000000001e+000	1.030000e+000	4.789179e-001	4.789179e-004	4.789179e-004	-4.789179e-004
1.040000000000001e+000	1.040000e+000	4.880562e-001	4.880562e-004	4.880562e-004	-4.880562e-004
1.050000000000001e+000	1.050000e+000	4.972090e-001	4.972091e-004	4.972091e-004	-4.972091e-004
1.060000000000001e+000	1.060000e+000	5.063760e-001	5.063760e-004	5.063760e-004	-5.063760e-004
1.070000000000001e+000	1.070000e+000	5.155566e-001	5.155565e-004	5.155565e-004	-5.155565e-004
1.080000000000001e+000	1.080000e+000	5.247504e-001	5.247504e-004	5.247504e-004	-5.247504e-004
1.090000000000001e+000	1.090000e+000	5.339570e-001	5.339570e-004	5.339570e-004	-5.339570e-004
1.100000000000001e+000	1.100000e+000	5.431761e-001	5.431760e-004	5.431760e-004	-5.431760e-004
1.110000000000001e+000	1.110000e+000	5.524071e-001	5.524072e-004	5.524072e-004	-5.524072e-004
1.120000000000001e+000	1.120000e+000	5.616500e-001	5.616500e-004	5.616500e-004	-5.616500e-004
1.130000000000001e+000	1.130000e+000	5.709041e-001	5.709042e-004	5.709042e-004	-5.709042e-004
1.140000000000001e+000	1.140000e+000	5.801694e-001	5.801694e-004	5.801694e-004	-5.801694e-004
1.150000000000001e+000	1.150000e+000	5.894453e-001	5.894453e-004	5.894453e-004	-5.894453e-004
1.160000000000001e+000	1.160000e+000	5.987317e-001	5.987317e-004	5.987317e-004	-5.987317e-004
1.170000000000001e+000	1.170000e+000	6.080282e-001	6.080282e-004	6.080282e-004	-6.080282e-004
1.180000000000001e+000	1.180000e+000	6.173346e-001	6.173346e-004	6.173346e-004	-6.173346e-004
1.190000000000001e+000	1.190000e+000	6.266506e-001	6.266506e-004	6.266506e-004	-6.266506e-004
1.200000000000001e+000	1.200000e+000	6.359759e-001	6.359759e-004	6.359759e-004	-6.359759e-004
1.210000000000001e+000	1.210000e+000	6.453103e-001	6.453103e-004	6.453103e-004	-6.453103e-004
1.220000000000001e+000	1.220000e+000	6.546536e-001	6.546536e-004	6.546536e-004	-6.546536e-004
1.230000000000001e+000	1.230000e+000	6.640055e-001	6.640055e-004	6.640055e-004	-6.640055e-004
